model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_processed_MLP,1,0.9198,0.6221,0.6335,0.6253
legalBERT_processed_MLP,2,0.7668,0.5670,0.5639,0.5532
legalBERT_processed_MLP,3,0.8285,0.5621,0.5819,0.5608
legalBERT_processed_MLP,4,0.8817,0.6469,0.6271,0.6317
legalBERT_processed_MLP,5,0.9211,0.6073,0.6494,0.6266
legalBERT_processed_MLP,6,0.8239,0.6090,0.6056,0.5904
legalBERT_processed_MLP,7,0.8397,0.5762,0.5814,0.5659
legalBERT_processed_MLP,8,0.9901,0.6640,0.6613,0.6627
legalBERT_processed_MLP,9,0.8835,0.6153,0.5969,0.6011
legalBERT_processed_MLP,10,0.8143,0.6239,0.6317,0.6145
Average,Average,0.8669,0.6094,0.6133,0.6032
