source_ID,source_text,target_ID,target_text,relation,source_type,target_type,file_name,type_pair
A2, accord law,A3,it include benefit; which mitigate charge; which be include budget; which have effect,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A8,that benefit treatment;  characterise fact; tax be calculate basis;  oppose rate;  vote authority,A7, regard case; regime stitute exception,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A9,undertaking be tax rate;  vote authority;  vote territory; undertaking have establishment,A7, regard case; regime stitute exception,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A10,rate be apply ft; rate be apply respect;  oppose rate,A7, regard case; regime stitute exception,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A1,which form part;  relate existence; ground be put instance; ground be put text;  rely court,A13, be to hold paragraph; finding depend number; tax be charge ;  vote authority;  vote territory; ft have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A3,it include benefit; which mitigate charge; which be include budget; which have effect,A13, be to hold paragraph; finding depend number; tax be charge ;  vote authority;  vote territory; ft have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A4,,A13, be to hold paragraph; finding depend number; tax be charge ;  vote authority;  vote territory; ft have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A5, pursue measure; nature have bear;  to be classify aid,A13, be to hold paragraph; finding depend number; tax be charge ;  vote authority;  vote territory; ft have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A6,it be establish ; article do distinguish cause; article define they; article define relation;  see case,A13, be to hold paragraph; finding depend number; tax be charge ;  vote authority;  vote territory; ft have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A7, regard case; regime stitute exception,A13, be to hold paragraph; finding depend number; tax be charge ;  vote authority;  vote territory; ft have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A11, regard argument;  rely appeal; examination should have take account; examination should have take number;  give characteristic;  to determine level;  to determine advance;  to determine year; it be accept ; it be accept ; regime result ; regime have be apply ,A13, be to hold paragraph; finding depend number; tax be charge ;  vote authority;  vote territory; ft have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A17, describe paragraph; ld have result ,A18, apply it;  receive it;  receive regime; amount depend factor,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A20,paragraph form part;  relate limitation;  to recover aid,A19,which refer circumstance;  grant regime,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A21,finding can relate aid; ft benefit regime,A19,which refer circumstance;  grant regime,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A13, be to hold paragraph; finding depend number; tax be charge ;  vote authority;  vote territory; ft have establishment,A22,it follow sideration; company ferre advantage; company ferre ft; company ferre purpose;  grant regime; amount have ;  to be determine reference,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A14, preclude possibility; ld have be classify aid; ld have be classify purpose,A22,it follow sideration; company ferre advantage; company ferre ft; company ferre purpose;  grant regime; amount have ;  to be determine reference,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
