text,label,dhananjay_events
"Contrary to what the Commission and the Irish Government claim, the first part of Ryanair’s single ground of appeal is not ineffective.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9979006), 'word': 'Contrary', 'start': 0, 'end': 8}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9800262), 'word': ' to what the Commission and the Irish Government claim, the', 'start': 8, 'end': 67}, {'entity_group': 'LABEL_1', 'score': np.float32(0.69979465), 'word': ' first', 'start': 67, 'end': 73}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9701368), 'word': ' part of Ryanair', 'start': 73, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9529217), 'word': '’s single ground of', 'start': 89, 'end': 108}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99561846), 'word': ' appeal', 'start': 108, 'end': 115}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8313129), 'word': ' is not', 'start': 115, 'end': 122}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999976), 'word': ' ineffective', 'start': 122, 'end': 134}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99629575), 'word': '.', 'start': 134, 'end': 135}]"
"Ryanair stated, in its appeal, that that part concerns not only paragraph 74 but also paragraphs 75 and 76 of the Ryanair judgment.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.89514387), 'word': 'Ryanair stated,', 'start': 0, 'end': 15}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995291), 'word': ' in its', 'start': 15, 'end': 22}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9435996), 'word': ' appeal', 'start': 22, 'end': 29}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9832723), 'word': ',', 'start': 29, 'end': 30}, {'entity_group': 'LABEL_0', 'score': np.float32(0.86714756), 'word': ' that that part concerns', 'start': 30, 'end': 54}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6960533), 'word': ' not', 'start': 54, 'end': 58}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9835753), 'word': ' only paragraph 74 but also paragraphs 75 and 76', 'start': 58, 'end': 106}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9349251), 'word': ' of the Ryanair', 'start': 106, 'end': 121}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999608), 'word': ' judgment', 'start': 121, 'end': 130}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5436934), 'word': '.', 'start': 130, 'end': 131}]"
"Moreover, those three paragraphs develop, essentially, one and the same line of reasoning, based on the fact that, during the period covered by the decision at issue, the EUR 3 rate did not apply and could not therefore be used as the reference rate.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9015107), 'word': 'Moreover, those three paragraphs develop, essentially', 'start': 0, 'end': 53}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92532575), 'word': ', one', 'start': 53, 'end': 58}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8224485), 'word': ' and the', 'start': 58, 'end': 66}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9923699), 'word': ' same', 'start': 66, 'end': 71}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9929691), 'word': ' line', 'start': 71, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9941923), 'word': ' of', 'start': 76, 'end': 79}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999926), 'word': ' reasoning', 'start': 79, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99998784), 'word': ',', 'start': 89, 'end': 90}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96505183), 'word': ' based on the fact that, during the period covered by', 'start': 90, 'end': 143}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7530187), 'word': ' the', 'start': 143, 'end': 147}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9972212), 'word': ' decision at issue,', 'start': 147, 'end': 166}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85029125), 'word': ' the EUR ', 'start': 166, 'end': 175}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8561663), 'word': '3', 'start': 175, 'end': 176}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93374485), 'word': ' rate', 'start': 176, 'end': 181}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97597075), 'word': ' did not apply and could not', 'start': 181, 'end': 209}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5266959), 'word': ' therefore', 'start': 209, 'end': 219}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9512084), 'word': ' be used as the reference rate.', 'start': 219, 'end': 250}]"
"However, as regards the substance, Ryanair’s arguments cannot succeed.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9956485), 'word': 'However, as regards the substance, Ryanair’', 'start': 0, 'end': 43}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999343), 'word': 's', 'start': 43, 'end': 44}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96422386), 'word': ' arguments cannot succeed.', 'start': 44, 'end': 70}]"
"It is the Court’s established case-law that, when appraising the requirement of selectivity, Article 107(1) TFEU requires assessment of whether, under a particular legal regime, a national measure is such as to favour ‘certain undertakings or the production of certain goods’ in comparison with others which, in the light of the objective pursued by that regime, are in a comparable factual and legal situation (judgment of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom, C‑106/09 P and C‑107/09 P, EU:C:2011:732, paragraph 75 and the case-law cited).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9941618), 'word': 'It is the Court’s established case-law that,', 'start': 0, 'end': 44}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5588724), 'word': ' when', 'start': 44, 'end': 49}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9315016), 'word': ' app', 'start': 49, 'end': 53}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98804563), 'word': 'raising the', 'start': 53, 'end': 64}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99620456), 'word': ' requirement', 'start': 64, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9981134), 'word': ' of', 'start': 76, 'end': 79}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99874145), 'word': ' selectivity, Article', 'start': 79, 'end': 100}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9591818), 'word': ' ', 'start': 100, 'end': 101}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97829986), 'word': '107(1)', 'start': 101, 'end': 107}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999995), 'word': ' T', 'start': 107, 'end': 109}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98195314), 'word': 'FEU requires assessment of whether, under a particular legal regime, a national measure', 'start': 109, 'end': 196}, {'entity_group': 'LABEL_1', 'score': np.float32(0.73034173), 'word': ' is', 'start': 196, 'end': 199}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9581935), 'word': ' such as to favour ‘certain undertakings', 'start': 199, 'end': 239}, {'entity_group': 'LABEL_1', 'score': np.float32(0.511196), 'word': ' or', 'start': 239, 'end': 242}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91839975), 'word': ' the production of', 'start': 242, 'end': 260}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99929917), 'word': ' certain', 'start': 260, 'end': 268}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93975973), 'word': ' goods’ in comparison with others which, in the', 'start': 268, 'end': 315}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85521525), 'word': ' light of the', 'start': 315, 'end': 328}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9218871), 'word': ' objective pursued by that regime, are in a comparable factual and legal situation', 'start': 328, 'end': 410}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6094832), 'word': ' (', 'start': 410, 'end': 412}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9421434), 'word': 'judgment of 15 November 2011, Commission and Spain v Government', 'start': 412, 'end': 475}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9822391), 'word': ' of', 'start': 475, 'end': 478}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9753619), 'word': ' Gibraltar and United Kingdom', 'start': 478, 'end': 507}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6140285), 'word': ',', 'start': 507, 'end': 508}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9841077), 'word': ' C‑106/09 P and C‑107/09 P,', 'start': 508, 'end': 535}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9848994), 'word': ' EU', 'start': 535, 'end': 538}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9101743), 'word': ':C', 'start': 538, 'end': 540}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91768223), 'word': ':20', 'start': 540, 'end': 543}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9881993), 'word': '11:732, paragraph 75 and', 'start': 543, 'end': 567}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93760085), 'word': ' the', 'start': 567, 'end': 571}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99908125), 'word': ' case', 'start': 571, 'end': 576}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9893408), 'word': '-law', 'start': 576, 'end': 580}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9991945), 'word': ' cited).', 'start': 580, 'end': 588}]"
"As the Advocate General observed, in essence, in point 41 of his Opinion, that assessment cannot be carried out by comparing the amount which the airlines subject to the lower rate of ATT were required to pay with a hypothetical tax amount, calculated on the basis or a rate which, as Ryanair itself accepts, did not apply to any flight or any airline during the period covered by the decision at issue .",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9748984), 'word': 'As', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7238241), 'word': ' the', 'start': 2, 'end': 6}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99637794), 'word': ' Advocate General observed, in essence, in point', 'start': 6, 'end': 54}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7888867), 'word': ' ', 'start': 54, 'end': 55}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9644118), 'word': '41 of', 'start': 55, 'end': 60}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7426395), 'word': ' his', 'start': 60, 'end': 64}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7606151), 'word': ' Opinion,', 'start': 64, 'end': 73}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9436174), 'word': ' that', 'start': 73, 'end': 78}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99797547), 'word': ' assessment cannot', 'start': 78, 'end': 96}, {'entity_group': 'LABEL_1', 'score': np.float32(0.73442554), 'word': ' be', 'start': 96, 'end': 99}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97718096), 'word': ' carried out by comparing the amount which', 'start': 99, 'end': 141}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6025651), 'word': ' the', 'start': 141, 'end': 145}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9970465), 'word': ' airlines subject', 'start': 145, 'end': 162}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99998236), 'word': ' to the lower', 'start': 162, 'end': 175}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999931), 'word': ' rate', 'start': 175, 'end': 180}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9666663), 'word': ' of', 'start': 180, 'end': 183}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9687112), 'word': ' ATT were required to pay', 'start': 183, 'end': 208}, {'entity_group': 'LABEL_1', 'score': np.float32(0.608035), 'word': ' with a', 'start': 208, 'end': 215}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7750002), 'word': ' hypothetical tax', 'start': 215, 'end': 232}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9934627), 'word': ' amount', 'start': 232, 'end': 239}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9244498), 'word': ', calculated', 'start': 239, 'end': 251}, {'entity_group': 'LABEL_1', 'score': np.float32(0.993971), 'word': ' on the', 'start': 251, 'end': 258}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9624439), 'word': ' basis or a rate which, as', 'start': 258, 'end': 284}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7113878), 'word': ' Ryanair', 'start': 284, 'end': 292}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92056), 'word': ' itself accepts, did not apply to any flight', 'start': 292, 'end': 336}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8965229), 'word': ' or any', 'start': 336, 'end': 343}, {'entity_group': 'LABEL_0', 'score': np.float32(0.998436), 'word': ' airline during', 'start': 343, 'end': 358}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97094256), 'word': ' the', 'start': 358, 'end': 362}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999998), 'word': ' period', 'start': 362, 'end': 369}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8559707), 'word': ' covered by the', 'start': 369, 'end': 384}, {'entity_group': 'LABEL_0', 'score': np.float32(0.86584854), 'word': ' decision at issue .', 'start': 384, 'end': 404}]"
"Thus, the General Court was correct to state, in paragraph 75 of the Ryanair judgment, that fixing a reference rate other than that actually applied during the period in question would not allow all the effects of ATT to be fully apprehended.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9633425), 'word': 'Thus, the', 'start': 0, 'end': 9}, {'entity_group': 'LABEL_1', 'score': np.float32(0.624262), 'word': ' General', 'start': 9, 'end': 17}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9764888), 'word': ' Court was', 'start': 17, 'end': 27}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8164001), 'word': ' correct', 'start': 27, 'end': 35}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94801974), 'word': ' to state, in paragraph 75', 'start': 35, 'end': 61}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998064), 'word': ' of the Ryanair', 'start': 61, 'end': 76}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9635452), 'word': ' judgment,', 'start': 76, 'end': 86}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92288876), 'word': ' that fixing a', 'start': 86, 'end': 100}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9942777), 'word': ' reference rate other than that actually applied during', 'start': 100, 'end': 155}, {'entity_group': 'LABEL_1', 'score': np.float32(0.69119275), 'word': ' the', 'start': 155, 'end': 159}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96615237), 'word': ' period in question would not allow all', 'start': 159, 'end': 198}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7686069), 'word': ' the effects', 'start': 198, 'end': 210}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9981433), 'word': ' of', 'start': 210, 'end': 213}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99998426), 'word': ' ATT', 'start': 213, 'end': 217}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95472336), 'word': ' to be fully apprehended.', 'start': 217, 'end': 242}]"
"Contrary to what is submitted by the Irish Government, Ryanair has set out to the requisite legal standard the reasons why it considers that paragraph 89 of the Ryanair judgment is vitiated by an error of law.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9979006), 'word': 'Contrary', 'start': 0, 'end': 8}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9363349), 'word': ' to what is submitted by', 'start': 8, 'end': 32}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9394032), 'word': ' the Irish', 'start': 32, 'end': 42}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999974), 'word': ' Government', 'start': 42, 'end': 53}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8028556), 'word': ',', 'start': 53, 'end': 54}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9953342), 'word': ' Ryanair', 'start': 54, 'end': 62}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9710979), 'word': ' has set out', 'start': 62, 'end': 74}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99706817), 'word': ' to the', 'start': 74, 'end': 81}, {'entity_group': 'LABEL_1', 'score': np.float32(0.774171), 'word': ' requisite legal', 'start': 81, 'end': 97}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9953666), 'word': ' standard', 'start': 97, 'end': 106}, {'entity_group': 'LABEL_1', 'score': np.float32(0.87444323), 'word': ' the reasons why', 'start': 106, 'end': 122}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98009354), 'word': ' it', 'start': 122, 'end': 125}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9450934), 'word': ' considers that', 'start': 125, 'end': 140}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8914401), 'word': ' paragraph 89 of', 'start': 140, 'end': 156}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9738902), 'word': ' the', 'start': 156, 'end': 160}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91501117), 'word': ' Ryanair', 'start': 160, 'end': 168}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9401543), 'word': ' judgment is viti', 'start': 168, 'end': 185}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9853233), 'word': 'ated by an error', 'start': 185, 'end': 201}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99571264), 'word': ' of', 'start': 201, 'end': 204}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' law', 'start': 204, 'end': 208}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99995613), 'word': '.', 'start': 208, 'end': 209}]"
"The fact nonetheless remains that those reasons are not such as to call into question the grounds of the General Court’s rejection of Ryanair’s argument, so that this part of Ryanair’s single ground of appeal must also be discounted.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98468333), 'word': ' fact nonetheless remains that those reasons are', 'start': 3, 'end': 51}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9704798), 'word': ' not', 'start': 51, 'end': 55}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90718204), 'word': ' such as to call into question the grounds of the General Court’s rejection of Ryanair’', 'start': 55, 'end': 142}, {'entity_group': 'LABEL_1', 'score': np.float32(0.55301654), 'word': 's', 'start': 142, 'end': 143}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99973845), 'word': ' argument,', 'start': 143, 'end': 153}, {'entity_group': 'LABEL_1', 'score': np.float32(0.52799845), 'word': ' so', 'start': 153, 'end': 156}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9945657), 'word': ' that', 'start': 156, 'end': 161}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9517827), 'word': ' this part of', 'start': 161, 'end': 174}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999182), 'word': ' Ryanair', 'start': 174, 'end': 182}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92971873), 'word': '’s single ground of appeal', 'start': 182, 'end': 208}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8789201), 'word': ' must also be discounted.', 'start': 208, 'end': 233}]"
"As the General Court observed, in essence, in paragraph 89 of the Ryanair judgment, if the Court were to find that the lower rate of ATT did not procure a selective advantage for the undertakings liable to pay that rate on the sole ground that that rate was introduced at the same time as the rate of EUR 10 per passenger, that would be tantamount to a finding that the decision whether a State intervention measure constituted State aid depended on the technique used.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9748984), 'word': 'As', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7238241), 'word': ' the', 'start': 2, 'end': 6}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9791463), 'word': ' General Court observed, in essence, in paragraph 89 of', 'start': 6, 'end': 61}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99553496), 'word': ' the Ryanair', 'start': 61, 'end': 73}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9850944), 'word': ' judgment, if the Court were to find that the lower rate of', 'start': 73, 'end': 132}, {'entity_group': 'LABEL_1', 'score': np.float32(0.84775585), 'word': ' ATT', 'start': 132, 'end': 136}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97754574), 'word': ' did not procure a', 'start': 136, 'end': 154}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9992791), 'word': ' selective', 'start': 154, 'end': 164}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999297), 'word': ' advantage for the undertakings', 'start': 164, 'end': 195}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9319291), 'word': ' liable to pay that', 'start': 195, 'end': 214}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9314469), 'word': ' rate on the sole ground that that rate', 'start': 214, 'end': 253}, {'entity_group': 'LABEL_1', 'score': np.float32(0.84465176), 'word': ' was', 'start': 253, 'end': 257}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94433063), 'word': ' introduced at the same time as the', 'start': 257, 'end': 292}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6671574), 'word': ' rate', 'start': 292, 'end': 297}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91872346), 'word': ' of EUR 10', 'start': 297, 'end': 307}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96597695), 'word': ' per passenger', 'start': 307, 'end': 321}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999765), 'word': ',', 'start': 321, 'end': 322}, {'entity_group': 'LABEL_1', 'score': np.float32(0.67744285), 'word': ' that', 'start': 322, 'end': 327}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9619931), 'word': ' would be', 'start': 327, 'end': 336}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98931), 'word': ' tan', 'start': 336, 'end': 340}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9146176), 'word': 'tamount to a finding that the', 'start': 340, 'end': 369}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6145544), 'word': ' decision', 'start': 369, 'end': 378}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96455497), 'word': ' whether a State intervention measure constituted State aid depended on the technique used.', 'start': 378, 'end': 469}]"
