text,label,dhananjay_events
"It must be held, first, that while Article 4(c) CS prohibits the granting of State aid to steel and coal undertakings, without drawing a distinction between individual aid or aid disbursed under a State aid scheme, Article 67 CS refers expressly to State aid only in respect of protective measures that the Commission may authorise, pursuant to the first indent of paragraph 2 of that article, in favour of coal or steel undertakings where they suffer competitive disadvantages because of general economic policy measures.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9897295), 'word': 'It must be held, first, that while Article 4(c', 'start': 0, 'end': 46}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99957776), 'word': ') CS', 'start': 46, 'end': 50}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9075939), 'word': ' prohibits', 'start': 50, 'end': 60}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8370398), 'word': ' the', 'start': 60, 'end': 64}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999981), 'word': ' granting', 'start': 64, 'end': 73}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99718314), 'word': ' of State', 'start': 73, 'end': 82}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89980733), 'word': ' aid to steel and coal undertakings,', 'start': 82, 'end': 118}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8509282), 'word': ' without drawing', 'start': 118, 'end': 134}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9926216), 'word': ' a distinction between individual aid or aid disbursed', 'start': 134, 'end': 188}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8603182), 'word': ' under a', 'start': 188, 'end': 196}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9990295), 'word': ' State aid scheme, Article', 'start': 196, 'end': 222}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7779031), 'word': ' ', 'start': 222, 'end': 223}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98101217), 'word': '67 CS refers expressly to State aid only in', 'start': 223, 'end': 266}, {'entity_group': 'LABEL_1', 'score': np.float32(0.74255276), 'word': ' respect', 'start': 266, 'end': 274}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999997), 'word': ' of', 'start': 274, 'end': 277}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99998367), 'word': ' protective', 'start': 277, 'end': 288}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9904875), 'word': ' measures', 'start': 288, 'end': 297}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85517657), 'word': ' that', 'start': 297, 'end': 302}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9951858), 'word': ' the Commission may', 'start': 302, 'end': 321}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9689885), 'word': ' author', 'start': 321, 'end': 328}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998876), 'word': 'ise,', 'start': 328, 'end': 332}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97917295), 'word': ' pursuant to the first', 'start': 332, 'end': 354}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99897605), 'word': ' indent of paragraph', 'start': 354, 'end': 374}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8633878), 'word': ' ', 'start': 374, 'end': 375}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99915713), 'word': '2 of', 'start': 375, 'end': 379}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99421376), 'word': ' that', 'start': 379, 'end': 384}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95381737), 'word': ' article, in favour of coal or steel undertakings where they', 'start': 384, 'end': 444}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9199887), 'word': ' suffer competitive', 'start': 444, 'end': 463}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999315), 'word': ' disadvantages because', 'start': 463, 'end': 485}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9551838), 'word': ' of general', 'start': 485, 'end': 496}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87990063), 'word': ' economic policy measures.', 'start': 496, 'end': 522}]"
"Also, it is clear from consistent case-law that Articles 4 CS and 67 CS concern two distinct areas, the first abolishing and prohibiting certain actions by Member States in the field which the ECSC Treaty places under Community jurisdiction, the second intended to prevent the distortion of competition which exercise of the residual powers of the Member States inevitably entails (see Banks, paragraph 88, and the case-law cited there).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9863613), 'word': 'Also, it is clear from', 'start': 0, 'end': 22}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7385255), 'word': ' consistent', 'start': 22, 'end': 33}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97535926), 'word': ' case-law that Articles 4 CS and 67 CS', 'start': 33, 'end': 71}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8306791), 'word': ' concern two distinct', 'start': 71, 'end': 92}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9127477), 'word': ' areas, the', 'start': 92, 'end': 103}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99322057), 'word': ' first', 'start': 103, 'end': 109}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99997306), 'word': ' abol', 'start': 109, 'end': 114}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92320496), 'word': 'ishing and prohibiting certain actions by Member', 'start': 114, 'end': 162}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92590785), 'word': ' States in the field which the', 'start': 162, 'end': 192}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9595032), 'word': ' EC', 'start': 192, 'end': 195}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9542229), 'word': 'SC Treaty', 'start': 195, 'end': 204}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9107027), 'word': ' places under Community', 'start': 204, 'end': 227}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999964), 'word': ' jurisdiction', 'start': 227, 'end': 240}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6015418), 'word': ',', 'start': 240, 'end': 241}, {'entity_group': 'LABEL_0', 'score': np.float32(0.67836404), 'word': ' the', 'start': 241, 'end': 245}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99986327), 'word': ' second', 'start': 245, 'end': 252}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97814274), 'word': ' intended to prevent the distortion', 'start': 252, 'end': 287}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9536135), 'word': ' of', 'start': 287, 'end': 290}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97566015), 'word': ' competition which exercise of the', 'start': 290, 'end': 324}, {'entity_group': 'LABEL_1', 'score': np.float32(0.846731), 'word': ' residual', 'start': 324, 'end': 333}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97228), 'word': ' powers of the', 'start': 333, 'end': 347}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9966274), 'word': ' Member', 'start': 347, 'end': 354}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9624518), 'word': ' States inevitably entails (see Banks, paragraph', 'start': 354, 'end': 402}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91727585), 'word': ' ', 'start': 402, 'end': 403}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999267), 'word': '88', 'start': 403, 'end': 405}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94974977), 'word': ',', 'start': 405, 'end': 406}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99451756), 'word': ' and the case', 'start': 406, 'end': 419}, {'entity_group': 'LABEL_1', 'score': np.float32(0.975461), 'word': '-law', 'start': 419, 'end': 423}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9134269), 'word': ' cited there).', 'start': 423, 'end': 437}]"
"The Court deduces from this that Article 67 CS covers general measures which Member States may adopt in the context of their economic and social policy and measures taken by Member States which apply to industries other than coal and steel but which are capable of having significant repercussions on the conditions of competition in those industries (see Banks, paragraph 88).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.76249593), 'word': ' Court', 'start': 3, 'end': 9}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9787431), 'word': ' dedu', 'start': 9, 'end': 14}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99153584), 'word': 'ces from this that Article', 'start': 14, 'end': 40}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6538127), 'word': ' ', 'start': 40, 'end': 41}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995259), 'word': '67', 'start': 41, 'end': 43}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9367372), 'word': ' CS covers general measures', 'start': 43, 'end': 70}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9140147), 'word': ' which Member States may adopt', 'start': 70, 'end': 100}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9926892), 'word': ' in', 'start': 100, 'end': 103}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7970722), 'word': ' the context', 'start': 103, 'end': 115}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9788548), 'word': ' of', 'start': 115, 'end': 118}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9918111), 'word': ' their economic and social policy', 'start': 118, 'end': 151}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90811), 'word': ' and', 'start': 151, 'end': 155}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7579821), 'word': ' measures taken', 'start': 155, 'end': 170}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99510384), 'word': ' by Member', 'start': 170, 'end': 180}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96390027), 'word': ' States which apply to industries other', 'start': 180, 'end': 219}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6557019), 'word': ' than', 'start': 219, 'end': 224}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997284), 'word': ' coal and steel but which', 'start': 224, 'end': 249}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99785215), 'word': ' are capable of', 'start': 249, 'end': 264}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9993315), 'word': ' having significant repercussions on the conditions of competition in those industries (see Banks, paragraph 88).', 'start': 264, 'end': 377}]"
"The Court has also held that action taken under Article 67 CS cannot be what, in any other form whatsoever, Article 4 CS declares to be incompatible with the common market for coal and steel and abolished and prohibited (De Gezamenlijke Steenkolenmijnen in Limburg v High Authority, p. 22).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9523581), 'word': ' Court has also held that action taken', 'start': 3, 'end': 41}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99994016), 'word': ' under', 'start': 41, 'end': 47}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9885871), 'word': ' Article 67 CS cannot', 'start': 47, 'end': 68}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5722266), 'word': ' be', 'start': 68, 'end': 71}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9943289), 'word': ' what, in any other form whatsoever, Article 4', 'start': 71, 'end': 117}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9556578), 'word': ' CS', 'start': 117, 'end': 120}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99575007), 'word': ' declares to', 'start': 120, 'end': 132}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99972385), 'word': ' be', 'start': 132, 'end': 135}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99576426), 'word': ' incompatible with', 'start': 135, 'end': 153}, {'entity_group': 'LABEL_1', 'score': np.float32(0.59717506), 'word': ' the', 'start': 153, 'end': 157}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9951667), 'word': ' common market for coal and steel', 'start': 157, 'end': 190}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96682), 'word': ' and', 'start': 190, 'end': 194}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9381685), 'word': ' abolished and prohibited', 'start': 194, 'end': 219}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9483648), 'word': ' (', 'start': 219, 'end': 221}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99266386), 'word': 'De', 'start': 221, 'end': 223}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96790916), 'word': ' Gezamenlijke Steenkolenmij', 'start': 223, 'end': 250}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9788345), 'word': 'nen in Limburg v High Authority, p. 22).', 'start': 250, 'end': 290}]"
"The Court has held, in particular, that it is inconceivable that the authors of the ECSC Treaty decided in Article 4(c) CS that subsidies and aids granted by Member States in any form whatsoever should be abolished and prohibited and then declared in Article 67 CS that, without even having been authorised by the Commission, that aid could be allowed subject to the measures recommended by the Commission to mitigate or remedy its effects (De Gezamenlijke Steenkolenmijnen in Limburg v High Authority, p. 21).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9755333), 'word': ' Court has held, in particular, that it is inconceivable that the authors of the ECSC Treaty decided in Article', 'start': 3, 'end': 114}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999249), 'word': ' ', 'start': 114, 'end': 115}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8499448), 'word': '4(c', 'start': 115, 'end': 118}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83240247), 'word': ')', 'start': 118, 'end': 119}, {'entity_group': 'LABEL_0', 'score': np.float32(0.6141324), 'word': ' CS', 'start': 119, 'end': 122}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9992545), 'word': ' that', 'start': 122, 'end': 127}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8284712), 'word': ' subsidies', 'start': 127, 'end': 137}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998597), 'word': ' and', 'start': 137, 'end': 141}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97600424), 'word': ' aids granted', 'start': 141, 'end': 154}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99979085), 'word': ' by', 'start': 154, 'end': 157}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93314767), 'word': ' Member States', 'start': 157, 'end': 171}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7420574), 'word': ' in any', 'start': 171, 'end': 178}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9994272), 'word': ' form whatsoever', 'start': 178, 'end': 194}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5403969), 'word': ' should be', 'start': 194, 'end': 204}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' abolished', 'start': 204, 'end': 214}, {'entity_group': 'LABEL_1', 'score': np.float32(0.69182366), 'word': ' and', 'start': 214, 'end': 218}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999989), 'word': ' prohibited', 'start': 218, 'end': 229}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8306673), 'word': ' and', 'start': 229, 'end': 233}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95215255), 'word': ' then declared in Article 67 CS', 'start': 233, 'end': 264}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9991009), 'word': ' that', 'start': 264, 'end': 269}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999095), 'word': ',', 'start': 269, 'end': 270}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8757842), 'word': ' without even having been', 'start': 270, 'end': 295}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9900219), 'word': ' authorised', 'start': 295, 'end': 306}, {'entity_group': 'LABEL_1', 'score': np.float32(0.81654716), 'word': ' by the', 'start': 306, 'end': 313}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96285594), 'word': ' Commission, that aid could', 'start': 313, 'end': 340}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6638228), 'word': ' be', 'start': 340, 'end': 343}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9558586), 'word': ' allowed subject', 'start': 343, 'end': 359}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9970835), 'word': ' to', 'start': 359, 'end': 362}, {'entity_group': 'LABEL_0', 'score': np.float32(0.76700145), 'word': ' the', 'start': 362, 'end': 366}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99713755), 'word': ' measures', 'start': 366, 'end': 375}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9846411), 'word': ' recommended by the Commission to', 'start': 375, 'end': 408}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9629916), 'word': ' mitigate', 'start': 408, 'end': 417}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9979366), 'word': ' or', 'start': 417, 'end': 420}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93492424), 'word': ' remedy its', 'start': 420, 'end': 431}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' effects', 'start': 431, 'end': 439}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5868259), 'word': ' (', 'start': 439, 'end': 441}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995813), 'word': 'De', 'start': 441, 'end': 443}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8717749), 'word': ' Gezamenlijke Steenkolenmij', 'start': 443, 'end': 470}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95073116), 'word': 'nen in Limburg v High Authority, p. 21).', 'start': 470, 'end': 510}]"
"The Court has also held that the first indent of Article 67(2) CS, which, by derogation from Article 4 CS, allows the granting of State aid in respect of protective measures to undertakings referred to in Article 80 CS, does not distinguish between aid specific to the coal and steel industry and aid which applies to it as the result of a general measure (Commission v France, paragraph 43).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94437885), 'word': ' Court has also held that the', 'start': 3, 'end': 32}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9993236), 'word': ' first', 'start': 32, 'end': 38}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97405696), 'word': ' indent of Article 67(2)', 'start': 38, 'end': 62}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6748325), 'word': ' CS', 'start': 62, 'end': 65}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9874134), 'word': ', which, by derogation', 'start': 65, 'end': 87}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6652047), 'word': ' from', 'start': 87, 'end': 92}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99512285), 'word': ' Article 4 CS', 'start': 92, 'end': 105}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93936425), 'word': ', allows the', 'start': 105, 'end': 117}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99944144), 'word': ' granting', 'start': 117, 'end': 126}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9975451), 'word': ' of State', 'start': 126, 'end': 135}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99987924), 'word': ' aid', 'start': 135, 'end': 139}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99947804), 'word': ' in', 'start': 139, 'end': 142}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7096661), 'word': ' respect', 'start': 142, 'end': 150}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98826367), 'word': ' of protective measures', 'start': 150, 'end': 173}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9959287), 'word': ' to undertakings', 'start': 173, 'end': 189}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99991167), 'word': ' referred', 'start': 189, 'end': 198}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995415), 'word': ' to', 'start': 198, 'end': 201}, {'entity_group': 'LABEL_1', 'score': np.float32(0.72074085), 'word': ' in', 'start': 201, 'end': 204}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9598046), 'word': ' Article 80 CS, does not distinguish between aid specific to the coal and steel industry and aid which applies to it as the result', 'start': 204, 'end': 334}, {'entity_group': 'LABEL_1', 'score': np.float32(0.72564113), 'word': ' of', 'start': 334, 'end': 337}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8833613), 'word': ' a general measure (Commission v France, paragraph 4', 'start': 337, 'end': 389}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7395652), 'word': '3', 'start': 389, 'end': 390}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99574536), 'word': ').', 'start': 390, 'end': 392}]"
"The Court accordingly held that a preferential rediscount rate for exports constitutes aid which, in the case in point, had to be authorised by the Commission under Article 67(2) CS in so far as it concerned the industry covered by the ECSC Treaty (see Commission v France, paragraph 44).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9345363), 'word': ' Court accordingly held that a', 'start': 3, 'end': 33}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97731256), 'word': ' preferential', 'start': 33, 'end': 46}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7546257), 'word': ' re', 'start': 46, 'end': 49}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9974814), 'word': 'discount', 'start': 49, 'end': 57}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96654785), 'word': ' rate for exports constitutes aid which, in the case in point, had to', 'start': 57, 'end': 126}, {'entity_group': 'LABEL_1', 'score': np.float32(0.75527334), 'word': ' be authorised by the', 'start': 126, 'end': 147}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9809203), 'word': ' Commission', 'start': 147, 'end': 158}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99984026), 'word': ' under', 'start': 158, 'end': 164}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99870896), 'word': ' Article', 'start': 164, 'end': 172}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99903464), 'word': ' ', 'start': 172, 'end': 173}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99965304), 'word': '67(2)', 'start': 173, 'end': 178}, {'entity_group': 'LABEL_1', 'score': np.float32(0.55901766), 'word': ' CS', 'start': 178, 'end': 181}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9767412), 'word': ' in so far as it', 'start': 181, 'end': 197}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9949215), 'word': ' concerned', 'start': 197, 'end': 207}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9404836), 'word': ' the industry covered', 'start': 207, 'end': 228}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8059099), 'word': ' by the', 'start': 228, 'end': 235}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8429022), 'word': ' ECSC Treaty', 'start': 235, 'end': 247}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995389), 'word': ' (', 'start': 247, 'end': 249}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9682887), 'word': 'see Commission v France, paragraph', 'start': 249, 'end': 283}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9791845), 'word': ' ', 'start': 283, 'end': 284}, {'entity_group': 'LABEL_0', 'score': np.float32(0.977749), 'word': '4', 'start': 284, 'end': 285}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8616546), 'word': '4', 'start': 285, 'end': 286}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99045664), 'word': ').', 'start': 286, 'end': 288}]"
"Finally, State aid granted to an undertaking falling within the scope of the ECSC Treaty has identical anti-competitive effects, regardless of whether it constitutes individual aid or aid granted under a State aid scheme that is not specific to the coal and steel sector.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.99210155), 'word': 'Finally,', 'start': 0, 'end': 8}, {'entity_group': 'LABEL_1', 'score': np.float32(0.84151316), 'word': ' State', 'start': 8, 'end': 14}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99344134), 'word': ' aid granted to an undertaking falling', 'start': 14, 'end': 52}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99574697), 'word': ' within the', 'start': 52, 'end': 63}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99969804), 'word': ' scope', 'start': 63, 'end': 69}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99330616), 'word': ' of the EC', 'start': 69, 'end': 79}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9160643), 'word': 'SC Treaty has identical anti-competitive effects, regardless of whether it constitutes', 'start': 79, 'end': 165}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9731529), 'word': ' individual', 'start': 165, 'end': 176}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9971937), 'word': ' aid or aid granted', 'start': 176, 'end': 195}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5558617), 'word': ' under', 'start': 195, 'end': 201}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9504595), 'word': ' a State aid scheme that is not specific to the coal and steel sector.', 'start': 201, 'end': 271}]"
"In the light of the foregoing, it must consequently be held that Article 4(c) CS applies to State aid paid to coal and steel undertakings under a State aid scheme that is not specific to the coal and steel sector.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547144), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99852264), 'word': ' the light', 'start': 2, 'end': 12}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90546346), 'word': ' of the', 'start': 12, 'end': 19}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99983966), 'word': ' foregoing', 'start': 19, 'end': 29}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6571582), 'word': ',', 'start': 29, 'end': 30}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9989087), 'word': ' it must consequently', 'start': 30, 'end': 51}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9721405), 'word': ' be', 'start': 51, 'end': 54}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9783387), 'word': ' held that Article 4(c', 'start': 54, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9972826), 'word': ') CS', 'start': 76, 'end': 80}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9504248), 'word': ' applies to State aid paid to coal and steel undertakings', 'start': 80, 'end': 137}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93835306), 'word': ' under a', 'start': 137, 'end': 145}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9418175), 'word': ' State aid scheme that', 'start': 145, 'end': 167}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9055681), 'word': ' is not', 'start': 167, 'end': 174}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98691285), 'word': ' specific to the coal and steel sector.', 'start': 174, 'end': 213}]"
"Contrary to what the German Government claims, that interpretation does not undermine the effectiveness of Article 67 CS.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9979006), 'word': 'Contrary', 'start': 0, 'end': 8}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9445463), 'word': ' to what the', 'start': 8, 'end': 20}, {'entity_group': 'LABEL_1', 'score': np.float32(0.61489934), 'word': ' German', 'start': 20, 'end': 27}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9889351), 'word': ' Government claims, that interpretation', 'start': 27, 'end': 66}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9832705), 'word': ' does not', 'start': 66, 'end': 75}, {'entity_group': 'LABEL_0', 'score': np.float32(0.736257), 'word': ' undermine the', 'start': 75, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8344941), 'word': ' effectiveness of', 'start': 89, 'end': 106}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9638613), 'word': ' Article 67', 'start': 106, 'end': 117}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5562761), 'word': ' CS.', 'start': 117, 'end': 121}]"
