text,label,dhananjay_events
"Contrary to the assertions of the Commission and the Comunidad Autónoma de La Rioja, the Territorio Histórico de Álava did raise before the Court of First Instance, in the initial application itself, at paragraph 71 et seq., a plea alleging misuse of powers on the part of the Commission.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9979006), 'word': 'Contrary', 'start': 0, 'end': 8}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9232326), 'word': ' to', 'start': 8, 'end': 11}, {'entity_group': 'LABEL_1', 'score': np.float32(0.78335375), 'word': ' the', 'start': 11, 'end': 15}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99605197), 'word': ' assertions of the Commission and the Comunidad Autónoma de La Rioja, the Territor', 'start': 15, 'end': 97}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9754733), 'word': 'io Histórico', 'start': 97, 'end': 109}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9300187), 'word': ' de', 'start': 109, 'end': 112}, {'entity_group': 'LABEL_1', 'score': np.float32(0.850951), 'word': ' Á', 'start': 112, 'end': 114}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9114856), 'word': 'lava', 'start': 114, 'end': 118}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92779), 'word': ' did raise before the Court of First', 'start': 118, 'end': 154}, {'entity_group': 'LABEL_0', 'score': np.float32(0.85241234), 'word': ' Instance, in the', 'start': 154, 'end': 171}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9996854), 'word': ' initial', 'start': 171, 'end': 179}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99850595), 'word': ' application itself, at paragraph', 'start': 179, 'end': 212}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8556163), 'word': ' ', 'start': 212, 'end': 213}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99169016), 'word': '71 et seq', 'start': 213, 'end': 222}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9859561), 'word': '.,', 'start': 222, 'end': 224}, {'entity_group': 'LABEL_0', 'score': np.float32(0.875736), 'word': ' a plea alleging misuse', 'start': 224, 'end': 247}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9056729), 'word': ' of', 'start': 247, 'end': 250}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99263096), 'word': ' powers on the part of the Commission.', 'start': 250, 'end': 288}]"
That plea was examined with regard to Ramondín and the Territorio Histórico de Álava at paragraphs 82 to 88 of the judgment under appeal.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.99922955), 'word': 'That plea was examined with regard to Ramondín and the Territor', 'start': 0, 'end': 63}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9196875), 'word': 'io Histórico', 'start': 63, 'end': 75}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98466045), 'word': ' de', 'start': 75, 'end': 78}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9911485), 'word': ' Á', 'start': 78, 'end': 80}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96817803), 'word': 'lava at paragraphs 82 to 88 of the judgment', 'start': 80, 'end': 123}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995983), 'word': ' under', 'start': 123, 'end': 129}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999926), 'word': ' appeal', 'start': 129, 'end': 136}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7889031), 'word': '.', 'start': 136, 'end': 137}]"
"The Court of First Instance rightly observed that a measure is only vitiated by misuse of powers if it appears, on the basis of objective, relevant and consistent evidence, to have been taken with the exclusive or main purpose of achieving an end other than that stated (see, inter alia, Case C‑110/97 Netherlands v Council [2001] ECR I‑8763, paragraph 137 and the cases cited).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9333484), 'word': ' Court of First Instance', 'start': 3, 'end': 27}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99527377), 'word': ' rightly', 'start': 27, 'end': 35}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95193547), 'word': ' observed that a', 'start': 35, 'end': 51}, {'entity_group': 'LABEL_1', 'score': np.float32(0.50419253), 'word': ' measure', 'start': 51, 'end': 59}, {'entity_group': 'LABEL_0', 'score': np.float32(0.745052), 'word': ' is only', 'start': 59, 'end': 67}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7657057), 'word': ' vitiated', 'start': 67, 'end': 76}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99117523), 'word': ' by misuse of powers if it appears,', 'start': 76, 'end': 111}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94970536), 'word': ' on', 'start': 111, 'end': 114}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8482725), 'word': ' the basis of', 'start': 114, 'end': 127}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96784705), 'word': ' objective', 'start': 127, 'end': 137}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9926461), 'word': ', relevant and consistent evidence, to have', 'start': 137, 'end': 180}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9704082), 'word': ' been taken with the', 'start': 180, 'end': 200}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9929825), 'word': ' exclusive or main purpose of achieving an end other than', 'start': 200, 'end': 257}, {'entity_group': 'LABEL_1', 'score': np.float32(0.84600973), 'word': ' that', 'start': 257, 'end': 262}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99779475), 'word': ' stated', 'start': 262, 'end': 269}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9845673), 'word': ' (', 'start': 269, 'end': 271}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97694904), 'word': 'see, inter alia, Case C‑110/97 Netherlands v Council [', 'start': 271, 'end': 325}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9173475), 'word': '2', 'start': 325, 'end': 326}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9732635), 'word': '001] ECR I‑8763, paragraph 137 and', 'start': 326, 'end': 360}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8875382), 'word': ' the', 'start': 360, 'end': 364}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83260506), 'word': ' cases cited).', 'start': 364, 'end': 378}]"
"At paragraphs 85 to 87, it analysed and assessed the applicants’ allegations and their arguments.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.56531274), 'word': 'At', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98407376), 'word': ' paragraphs 85 to 87, it', 'start': 2, 'end': 26}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9812857), 'word': ' analysed and assessed the', 'start': 26, 'end': 52}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999969), 'word': ' applicants', 'start': 52, 'end': 63}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999989), 'word': '’', 'start': 63, 'end': 64}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9966042), 'word': ' allegations', 'start': 64, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(1.0), 'word': ' and', 'start': 76, 'end': 80}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7628453), 'word': ' their arguments.', 'start': 80, 'end': 97}]"
It found that they had not adduced any objective evidence from which it could be concluded that the Commission’s real purpose in adopting the contested decision was to achieve tax harmonisation.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.98740613), 'word': 'It found that they had', 'start': 0, 'end': 22}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9486961), 'word': ' not', 'start': 22, 'end': 26}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98596704), 'word': ' adduced any objective evidence from', 'start': 26, 'end': 62}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6645771), 'word': ' which', 'start': 62, 'end': 68}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99684197), 'word': ' it could be concluded that the Commission’s real purpose', 'start': 68, 'end': 125}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9583601), 'word': ' in adopting the contested', 'start': 125, 'end': 151}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99719083), 'word': ' decision was to achieve tax harmonisation', 'start': 151, 'end': 193}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9521427), 'word': '.', 'start': 193, 'end': 194}]"
"In doing that, the Court of First Instance undertook an assessment of the facts which does not, unless the clear sense of the evidence produced to it was distorted, constitute a question of law which is subject, as such, to review by the Court of Justice (see inter alia Joined Cases C‑280/99 P to C‑282/99 P Moccia Irme and Others v Commission [2001] ECR I‑4717, paragraph 78, and Joined Cases C‑238/99 P, C‑244/99 P, C‑245/99 P, C‑247/99 P, C‑250/99 P to C‑252/99 P and C‑254/99 P Limburgse Vinyl Maatschappij and Others v Commission [2002] ECR I‑8375, paragraph 285).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9739531), 'word': 'In doing', 'start': 0, 'end': 8}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92072725), 'word': ' that, the', 'start': 8, 'end': 18}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98239857), 'word': ' Court', 'start': 18, 'end': 24}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9950345), 'word': ' of First Instance', 'start': 24, 'end': 42}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89841586), 'word': ' undertook an', 'start': 42, 'end': 55}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9047983), 'word': ' assessment', 'start': 55, 'end': 66}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9565513), 'word': ' of the', 'start': 66, 'end': 73}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9919538), 'word': ' facts which does not, unless the', 'start': 73, 'end': 106}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5413159), 'word': ' clear', 'start': 106, 'end': 112}, {'entity_group': 'LABEL_0', 'score': np.float32(0.975247), 'word': ' sense of the evidence produced to it was distorted,', 'start': 112, 'end': 164}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99973744), 'word': ' constitute', 'start': 164, 'end': 175}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8047899), 'word': ' a question', 'start': 175, 'end': 186}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998815), 'word': ' of', 'start': 186, 'end': 189}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999889), 'word': ' law which', 'start': 189, 'end': 199}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9994062), 'word': ' is', 'start': 199, 'end': 202}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9955551), 'word': ' subject, as such,', 'start': 202, 'end': 220}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99888676), 'word': ' to', 'start': 220, 'end': 223}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8982996), 'word': ' review by the Court of Justice (see', 'start': 223, 'end': 259}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8989139), 'word': ' inter alia Joined', 'start': 259, 'end': 277}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9952356), 'word': ' Cases C‑280/99 P to C', 'start': 277, 'end': 299}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9975313), 'word': '‑', 'start': 299, 'end': 300}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9992766), 'word': '282', 'start': 300, 'end': 303}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99992454), 'word': '/', 'start': 303, 'end': 304}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95376986), 'word': '99 P Moccia', 'start': 304, 'end': 315}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9980305), 'word': ' Ir', 'start': 315, 'end': 318}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9806795), 'word': 'me and Others v Commission [', 'start': 318, 'end': 346}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97955954), 'word': '2', 'start': 346, 'end': 347}, {'entity_group': 'LABEL_0', 'score': np.float32(0.84632987), 'word': '001]', 'start': 347, 'end': 351}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93129915), 'word': ' ECR', 'start': 351, 'end': 355}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99825764), 'word': ' I‑4717', 'start': 355, 'end': 362}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7708026), 'word': ',', 'start': 362, 'end': 363}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997129), 'word': ' paragraph', 'start': 363, 'end': 373}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9908524), 'word': ' ', 'start': 373, 'end': 374}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999395), 'word': '78', 'start': 374, 'end': 376}, {'entity_group': 'LABEL_1', 'score': np.float32(0.998566), 'word': ',', 'start': 376, 'end': 377}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9910251), 'word': ' and', 'start': 377, 'end': 381}, {'entity_group': 'LABEL_1', 'score': np.float32(0.74384), 'word': ' Joined', 'start': 381, 'end': 388}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997122), 'word': ' Cases C', 'start': 388, 'end': 396}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5265695), 'word': '‑', 'start': 396, 'end': 397}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99246305), 'word': '238/99 P', 'start': 397, 'end': 405}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9951302), 'word': ',', 'start': 405, 'end': 406}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99975854), 'word': ' C', 'start': 406, 'end': 408}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95288634), 'word': '‑', 'start': 408, 'end': 409}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8761865), 'word': '24', 'start': 409, 'end': 411}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91020286), 'word': '4/', 'start': 411, 'end': 413}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9271334), 'word': '99 P, C', 'start': 413, 'end': 420}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8194124), 'word': '‑2', 'start': 420, 'end': 422}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9982275), 'word': '45', 'start': 422, 'end': 424}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9887291), 'word': '/', 'start': 424, 'end': 425}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9783928), 'word': '99 P, C', 'start': 425, 'end': 432}, {'entity_group': 'LABEL_1', 'score': np.float32(0.80892605), 'word': '‑2', 'start': 432, 'end': 434}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99979556), 'word': '47', 'start': 434, 'end': 436}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9972811), 'word': '/', 'start': 436, 'end': 437}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92782056), 'word': '99 P, C', 'start': 437, 'end': 444}, {'entity_group': 'LABEL_1', 'score': np.float32(0.968273), 'word': '‑2', 'start': 444, 'end': 446}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999522), 'word': '50', 'start': 446, 'end': 448}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8202544), 'word': '/', 'start': 448, 'end': 449}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9417263), 'word': '99 P to C', 'start': 449, 'end': 458}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9922742), 'word': '‑', 'start': 458, 'end': 459}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9911372), 'word': '252', 'start': 459, 'end': 462}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9878754), 'word': '/', 'start': 462, 'end': 463}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9635542), 'word': '99 P and C', 'start': 463, 'end': 473}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97539365), 'word': '‑', 'start': 473, 'end': 474}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9821415), 'word': '254', 'start': 474, 'end': 477}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9592802), 'word': '/', 'start': 477, 'end': 478}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999332), 'word': '99 P', 'start': 478, 'end': 482}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9125079), 'word': ' Limburgse Vinyl Ma', 'start': 482, 'end': 501}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98627824), 'word': 'atschappij and Others v Commission [', 'start': 501, 'end': 537}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85438704), 'word': '2', 'start': 537, 'end': 538}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92885864), 'word': '002] ECR I‑83', 'start': 538, 'end': 551}, {'entity_group': 'LABEL_1', 'score': np.float32(0.87383854), 'word': '7', 'start': 551, 'end': 552}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995758), 'word': '5, paragraph', 'start': 552, 'end': 564}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5279799), 'word': ' ', 'start': 564, 'end': 565}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9734851), 'word': '285).', 'start': 565, 'end': 570}]"
"The appellants confine themselves, by assertions, to challenging those findings of fact.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9455686), 'word': ' appellants confine themselves, by assertions', 'start': 3, 'end': 48}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9894567), 'word': ',', 'start': 48, 'end': 49}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9594766), 'word': ' to', 'start': 49, 'end': 52}, {'entity_group': 'LABEL_1', 'score': np.float32(0.901006), 'word': ' challenging those', 'start': 52, 'end': 70}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98498356), 'word': ' findings of fact.', 'start': 70, 'end': 88}]"
They do not produce any evidence such as to establish that the Court of First Instance distorted the clear sense of the evidence produced to it.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.8784945), 'word': 'They do not produce', 'start': 0, 'end': 19}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9835523), 'word': ' any', 'start': 19, 'end': 23}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' evidence', 'start': 23, 'end': 32}, {'entity_group': 'LABEL_1', 'score': np.float32(0.86802894), 'word': ' such', 'start': 32, 'end': 37}, {'entity_group': 'LABEL_0', 'score': np.float32(0.78837353), 'word': ' as to', 'start': 37, 'end': 43}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9750131), 'word': ' establish', 'start': 43, 'end': 53}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9065556), 'word': ' that the Court', 'start': 53, 'end': 68}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93652785), 'word': ' of', 'start': 68, 'end': 71}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7210705), 'word': ' First Instance', 'start': 71, 'end': 86}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98143345), 'word': ' distorted the clear sense', 'start': 86, 'end': 112}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93661827), 'word': ' of', 'start': 112, 'end': 115}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8671226), 'word': ' the', 'start': 115, 'end': 119}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99992913), 'word': ' evidence produced to it', 'start': 119, 'end': 143}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998872), 'word': '.', 'start': 143, 'end': 144}]"
In any event it cannot be maintained that the Court of First Instance should have concluded from the absence of any complaint from a competitor that the Commission’s objectives were other than those stated.,prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547144), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9975004), 'word': ' any event it', 'start': 2, 'end': 15}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91522145), 'word': ' cannot', 'start': 15, 'end': 22}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96416384), 'word': ' be maintained that the Court of First Instance should have concluded from the absence of any complaint from a competitor that', 'start': 22, 'end': 148}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99224466), 'word': ' the', 'start': 148, 'end': 152}, {'entity_group': 'LABEL_0', 'score': np.float32(0.990279), 'word': ' Commission’s objectives were other', 'start': 152, 'end': 187}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8782282), 'word': ' than those', 'start': 187, 'end': 198}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9981158), 'word': ' stated.', 'start': 198, 'end': 206}]"
The mere fact that there was no complaint does not admit of such a hypothesis.,prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.943458), 'word': ' mere fact that there was no complaint does not admit of such a hypothesis.', 'start': 3, 'end': 78}]"
