text,label,dhananjay_events
"It should be noted that the decision-making nature of the 2004 letter, even if that were established, has no bearing on the lawfulness of the decision at issue.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9845899), 'word': 'It should be noted that the decision-making nature', 'start': 0, 'end': 50}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7514241), 'word': ' of the', 'start': 50, 'end': 57}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9816157), 'word': ' 2004 letter, even if that were established,', 'start': 57, 'end': 101}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9990483), 'word': ' has', 'start': 101, 'end': 105}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99478644), 'word': ' no bearing on the lawfulness of the decision at issue.', 'start': 105, 'end': 160}]"
"In that regard, the General Court held, in paragraph 59 of the judgment under appeal, having regard to the information available to it, that the scheme for the promotion of electricity production from RES, which was notified in 2014 and which gave rise to the decision at issue, was substantially different from the provisional scheme as set out in the 2003 draft law which was the subject of the 2004 letter.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547151), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7423456), 'word': ' that regard, the', 'start': 2, 'end': 19}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9078724), 'word': ' General', 'start': 19, 'end': 27}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9773818), 'word': ' Court held, in paragraph 59 of', 'start': 27, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.81246084), 'word': ' the', 'start': 58, 'end': 62}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999615), 'word': ' judgment', 'start': 62, 'end': 71}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999645), 'word': ' under', 'start': 71, 'end': 77}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87438065), 'word': ' appeal,', 'start': 77, 'end': 85}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99631137), 'word': ' having', 'start': 85, 'end': 92}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96549404), 'word': ' regard to the information available to it, that the scheme for the', 'start': 92, 'end': 159}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92666876), 'word': ' promotion of', 'start': 159, 'end': 172}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9807039), 'word': ' electricity production from', 'start': 172, 'end': 200}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9997046), 'word': ' RES,', 'start': 200, 'end': 205}, {'entity_group': 'LABEL_0', 'score': np.float32(0.56553316), 'word': ' which', 'start': 205, 'end': 211}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9551733), 'word': ' was', 'start': 211, 'end': 215}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91359425), 'word': ' notified in', 'start': 215, 'end': 227}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88328403), 'word': ' 20', 'start': 227, 'end': 230}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9541129), 'word': '14', 'start': 230, 'end': 232}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88134557), 'word': ' and which', 'start': 232, 'end': 242}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97115123), 'word': ' gave', 'start': 242, 'end': 247}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9850178), 'word': ' rise to the', 'start': 247, 'end': 259}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9932624), 'word': ' decision at', 'start': 259, 'end': 271}, {'entity_group': 'LABEL_1', 'score': np.float32(0.55143255), 'word': ' issue', 'start': 271, 'end': 277}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98926), 'word': ', was', 'start': 277, 'end': 282}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99978656), 'word': ' substantially', 'start': 282, 'end': 296}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9979977), 'word': ' different from the', 'start': 296, 'end': 315}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9509975), 'word': ' provisional', 'start': 315, 'end': 327}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999595), 'word': ' scheme', 'start': 327, 'end': 334}, {'entity_group': 'LABEL_1', 'score': np.float32(0.997981), 'word': ' as', 'start': 334, 'end': 337}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99018157), 'word': ' set out', 'start': 337, 'end': 345}, {'entity_group': 'LABEL_1', 'score': np.float32(0.76631165), 'word': ' in', 'start': 345, 'end': 348}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8813896), 'word': ' the', 'start': 348, 'end': 352}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999998), 'word': ' 2', 'start': 352, 'end': 354}, {'entity_group': 'LABEL_0', 'score': np.float32(0.996748), 'word': '00', 'start': 354, 'end': 356}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8806373), 'word': '3', 'start': 356, 'end': 357}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999934), 'word': ' draft law', 'start': 357, 'end': 367}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7642436), 'word': ' which was', 'start': 367, 'end': 377}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9061904), 'word': ' the subject of the ', 'start': 377, 'end': 397}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995035), 'word': '2', 'start': 397, 'end': 398}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9930021), 'word': '004 letter.', 'start': 398, 'end': 409}]"
"That assessment by the General Court of the facts and evidence before it cannot be challenged before the appeal court, except where the facts have been distorted (see, to that effect, judgment of 15 May 2019, CJ v ECDC, C‑170/18 P, not published, EU:C:2019:410, paragraph 23 and the case-law cited), which is not relied on by the appellants, which claim only that the General Court did not examine the evidence adduced, nor did it take account of their offer to submit additional evidence.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.999296), 'word': 'That assessment by', 'start': 0, 'end': 18}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9861526), 'word': ' the General', 'start': 18, 'end': 30}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999341), 'word': ' Court', 'start': 30, 'end': 36}, {'entity_group': 'LABEL_1', 'score': np.float32(0.878277), 'word': ' of', 'start': 36, 'end': 39}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87802), 'word': ' the facts', 'start': 39, 'end': 49}, {'entity_group': 'LABEL_1', 'score': np.float32(0.75051016), 'word': ' and', 'start': 49, 'end': 53}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89359254), 'word': ' evidence', 'start': 53, 'end': 62}, {'entity_group': 'LABEL_1', 'score': np.float32(0.77676654), 'word': ' before', 'start': 62, 'end': 69}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' it', 'start': 69, 'end': 72}, {'entity_group': 'LABEL_1', 'score': np.float32(0.73323566), 'word': ' cannot be', 'start': 72, 'end': 82}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99624604), 'word': ' challenged before the appeal court, except where the facts', 'start': 82, 'end': 141}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7703738), 'word': ' have been', 'start': 141, 'end': 151}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999697), 'word': ' distorted', 'start': 151, 'end': 161}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8829609), 'word': ' (', 'start': 161, 'end': 163}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99974793), 'word': 'see', 'start': 163, 'end': 166}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96915406), 'word': ',', 'start': 166, 'end': 167}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9963185), 'word': ' to that effect', 'start': 167, 'end': 182}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99995077), 'word': ',', 'start': 182, 'end': 183}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9629615), 'word': ' judgment of 15 May ', 'start': 183, 'end': 203}, {'entity_group': 'LABEL_1', 'score': np.float32(0.999688), 'word': '2', 'start': 203, 'end': 204}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9519589), 'word': '019, CJ v ECDC, C‑170/18 P, not published,', 'start': 204, 'end': 246}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8660766), 'word': ' EU', 'start': 246, 'end': 249}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9684078), 'word': ':C:', 'start': 249, 'end': 252}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9590723), 'word': '20', 'start': 252, 'end': 254}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9398366), 'word': '19:410, paragraph', 'start': 254, 'end': 271}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5580244), 'word': ' ', 'start': 271, 'end': 272}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999857), 'word': '23', 'start': 272, 'end': 274}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8648941), 'word': ' and', 'start': 274, 'end': 278}, {'entity_group': 'LABEL_0', 'score': np.float32(0.67229897), 'word': ' the case', 'start': 278, 'end': 287}, {'entity_group': 'LABEL_1', 'score': np.float32(0.77155113), 'word': '-law', 'start': 287, 'end': 291}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99886626), 'word': ' cited), which', 'start': 291, 'end': 305}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9271245), 'word': ' is not', 'start': 305, 'end': 312}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9968967), 'word': ' relied on by the appellants,', 'start': 312, 'end': 341}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94863224), 'word': ' which', 'start': 341, 'end': 347}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90471977), 'word': ' claim only', 'start': 347, 'end': 358}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5922349), 'word': ' that', 'start': 358, 'end': 363}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9842945), 'word': ' the General Court did not examine the evidence adduced', 'start': 363, 'end': 418}, {'entity_group': 'LABEL_1', 'score': np.float32(0.947344), 'word': ', nor did it take', 'start': 418, 'end': 435}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8969517), 'word': ' account of their offer to submit', 'start': 435, 'end': 468}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8873191), 'word': ' additional', 'start': 468, 'end': 479}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92602396), 'word': ' evidence.', 'start': 479, 'end': 489}]"
"The plea in the application at first instance alleging that the Commission had found, in the 2006 decision, that the Czech scheme for the promotion of electricity production from RES did not constitute State aid and that, consequently, that institution could not have decided to the contrary by the decision at issue, was rejected by the General Court in paragraph 60 of the judgment under appeal, inter alia, on the ground that it had been put before it for the first time only in the reply and that, as a result, it constituted a new inadmissible plea.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8131876), 'word': ' plea in', 'start': 3, 'end': 11}, {'entity_group': 'LABEL_1', 'score': np.float32(0.81235904), 'word': ' the', 'start': 11, 'end': 15}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999523), 'word': ' application', 'start': 15, 'end': 27}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8679193), 'word': ' at', 'start': 27, 'end': 30}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9969556), 'word': ' first instance alleging that the Commission had found, in the 200', 'start': 30, 'end': 96}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9341226), 'word': '6', 'start': 96, 'end': 97}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9958537), 'word': ' decision, that the Czech scheme for the promotion', 'start': 97, 'end': 147}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99927825), 'word': ' of', 'start': 147, 'end': 150}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8835917), 'word': ' electricity production from', 'start': 150, 'end': 178}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98096585), 'word': ' RES', 'start': 178, 'end': 182}, {'entity_group': 'LABEL_0', 'score': np.float32(0.989479), 'word': ' did not constitute State aid and that, consequently, that institution could not have decided to the contrary by the decision at issue, was rejected by the', 'start': 182, 'end': 337}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99930215), 'word': ' General', 'start': 337, 'end': 345}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96172816), 'word': ' Court in paragraph 60 of', 'start': 345, 'end': 370}, {'entity_group': 'LABEL_1', 'score': np.float32(0.75770986), 'word': ' the', 'start': 370, 'end': 374}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999716), 'word': ' judgment', 'start': 374, 'end': 383}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9997857), 'word': ' under', 'start': 383, 'end': 389}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999999), 'word': ' appeal', 'start': 389, 'end': 396}, {'entity_group': 'LABEL_1', 'score': np.float32(0.61273456), 'word': ', inter', 'start': 396, 'end': 403}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9760948), 'word': ' alia, on the ground that it', 'start': 403, 'end': 431}, {'entity_group': 'LABEL_1', 'score': np.float32(0.66833174), 'word': ' had been', 'start': 431, 'end': 440}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9992194), 'word': ' put before it', 'start': 440, 'end': 454}, {'entity_group': 'LABEL_1', 'score': np.float32(0.51761156), 'word': ' for', 'start': 454, 'end': 458}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9994894), 'word': ' the first time only in', 'start': 458, 'end': 481}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9269809), 'word': ' the', 'start': 481, 'end': 485}, {'entity_group': 'LABEL_0', 'score': np.float32(0.6187107), 'word': ' reply', 'start': 485, 'end': 491}, {'entity_group': 'LABEL_1', 'score': np.float32(0.56651664), 'word': ' and', 'start': 491, 'end': 495}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9920635), 'word': ' that, as a result, it', 'start': 495, 'end': 517}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8731815), 'word': ' constituted a new', 'start': 517, 'end': 535}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9420626), 'word': ' inadmissible plea.', 'start': 535, 'end': 554}]"
It is common ground that that plea was only put forward for the first time in the reply.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9845789), 'word': 'It is common ground', 'start': 0, 'end': 19}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9964939), 'word': ' that', 'start': 19, 'end': 24}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94273674), 'word': ' that plea was only put forward for the', 'start': 24, 'end': 63}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999105), 'word': ' first', 'start': 63, 'end': 69}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9955538), 'word': ' time in the reply', 'start': 69, 'end': 87}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9954366), 'word': '.', 'start': 87, 'end': 88}]"
"Furthermore, contrary to what the appellants claim, it cannot be regarded as the extension of the first plea in the action before the General Court, which alleged that the 2004 letter, by which the Commission had adopted a position on the proposed scheme for the promotion of electricity production from RES, was a decision.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9930464), 'word': 'Furthermore,', 'start': 0, 'end': 12}, {'entity_group': 'LABEL_1', 'score': np.float32(0.75749236), 'word': ' contrary', 'start': 12, 'end': 21}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95461684), 'word': ' to what the appellants claim, it cannot be regarded as the extension of the', 'start': 21, 'end': 97}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9980398), 'word': ' first', 'start': 97, 'end': 103}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98186684), 'word': ' plea in the action before the General Court, which', 'start': 103, 'end': 154}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6311268), 'word': ' alleged', 'start': 154, 'end': 162}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99292207), 'word': ' that the 200', 'start': 162, 'end': 175}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90868676), 'word': '4', 'start': 175, 'end': 176}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93728954), 'word': ' letter, by which the', 'start': 176, 'end': 197}, {'entity_group': 'LABEL_1', 'score': np.float32(0.69416845), 'word': ' Commission', 'start': 197, 'end': 208}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98506755), 'word': ' had adopted a position on the proposed scheme for the promotion', 'start': 208, 'end': 272}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8845505), 'word': ' of', 'start': 272, 'end': 275}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9991989), 'word': ' electricity production from', 'start': 275, 'end': 303}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9315506), 'word': ' RES,', 'start': 303, 'end': 308}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9975269), 'word': ' was a decision.', 'start': 308, 'end': 324}]"
"Moreover, the appellants were not in a position, either before the Court of Justice or the General Court, to provide reasons why that plea could not have been put forward earlier.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.95582914), 'word': 'Moreover, the appellants were not in a position,', 'start': 0, 'end': 48}, {'entity_group': 'LABEL_1', 'score': np.float32(0.73063976), 'word': ' either', 'start': 48, 'end': 55}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9348629), 'word': ' before the Court of Justice or the General Court, to provide', 'start': 55, 'end': 116}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5420172), 'word': ' reasons', 'start': 116, 'end': 124}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99998033), 'word': ' why', 'start': 124, 'end': 128}, {'entity_group': 'LABEL_1', 'score': np.float32(0.61965865), 'word': ' that', 'start': 128, 'end': 133}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99207634), 'word': ' plea could not have been put forward earlier.', 'start': 133, 'end': 179}]"
"Consequently, the General Court correctly applied Article 84(1) of its Rules of Procedure by rejecting that plea on the ground that it was out of time.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.88005215), 'word': 'Consequently, the', 'start': 0, 'end': 17}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9748014), 'word': ' General', 'start': 17, 'end': 25}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9905488), 'word': ' Court', 'start': 25, 'end': 31}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98089993), 'word': ' correctly applied', 'start': 31, 'end': 49}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9572012), 'word': ' Article 84(1) of its Rules of Procedure', 'start': 49, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9940117), 'word': ' by', 'start': 89, 'end': 92}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99946684), 'word': ' rejecting', 'start': 92, 'end': 102}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9914009), 'word': ' that', 'start': 102, 'end': 107}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' plea', 'start': 107, 'end': 112}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90505797), 'word': ' on the', 'start': 112, 'end': 119}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91255283), 'word': ' ground that it', 'start': 119, 'end': 134}, {'entity_group': 'LABEL_1', 'score': np.float32(0.78418016), 'word': ' was', 'start': 134, 'end': 138}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9757864), 'word': ' out', 'start': 138, 'end': 142}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96499246), 'word': ' of', 'start': 142, 'end': 145}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9956366), 'word': ' time.', 'start': 145, 'end': 151}]"
"According to the case-law of the Court of Justice, for infringement of the principle of the protection of legitimate expectations to be established, it is necessary for an EU institution, by giving a citizen precise assurances, to have led that person to entertain justified expectations.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.6648641), 'word': 'According', 'start': 0, 'end': 9}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9967602), 'word': ' to the case-law', 'start': 9, 'end': 25}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9992423), 'word': ' of the', 'start': 25, 'end': 32}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999983), 'word': ' Court of Justice', 'start': 32, 'end': 49}, {'entity_group': 'LABEL_1', 'score': np.float32(0.80717987), 'word': ',', 'start': 49, 'end': 50}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9889682), 'word': ' for infringement', 'start': 50, 'end': 67}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9893265), 'word': ' of', 'start': 67, 'end': 70}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9340347), 'word': ' the principle of the', 'start': 70, 'end': 91}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9353942), 'word': ' protection', 'start': 91, 'end': 102}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9892515), 'word': ' of legitimate expectations to be established, it is necessary for an EU institution, by giving a citizen', 'start': 102, 'end': 207}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6022565), 'word': ' precise', 'start': 207, 'end': 215}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98066926), 'word': ' assurances, to', 'start': 215, 'end': 230}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6616682), 'word': ' have', 'start': 230, 'end': 235}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998071), 'word': ' led that', 'start': 235, 'end': 244}, {'entity_group': 'LABEL_1', 'score': np.float32(0.998504), 'word': ' person to entertain', 'start': 244, 'end': 264}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90847653), 'word': ' justified expectations.', 'start': 264, 'end': 288}]"
"Information which is precise, unconditional and consistent, in whatever form it is given, constitutes such assurances (judgment of 12 October 2016, Land Hessen v Pollmeier Massivholz, C‑242/15 P, not published, EU:C:2016:765, paragraph 63).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9881416), 'word': 'Information which is precise, unconditional', 'start': 0, 'end': 43}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5920148), 'word': ' and', 'start': 43, 'end': 47}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9487088), 'word': ' consistent, in', 'start': 47, 'end': 62}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99967253), 'word': ' whatever', 'start': 62, 'end': 71}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97993016), 'word': ' form it is given, constitutes', 'start': 71, 'end': 101}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85519147), 'word': ' such', 'start': 101, 'end': 106}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' assurances', 'start': 106, 'end': 117}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999964), 'word': ' (', 'start': 117, 'end': 119}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99789906), 'word': 'judgment of', 'start': 119, 'end': 130}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99744993), 'word': ' ', 'start': 130, 'end': 131}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9931271), 'word': '12 October', 'start': 131, 'end': 141}, {'entity_group': 'LABEL_1', 'score': np.float32(0.79364955), 'word': ' 2', 'start': 141, 'end': 143}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9964191), 'word': '016, Land Hessen v Pollmeier', 'start': 143, 'end': 171}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7312758), 'word': ' Massiv', 'start': 171, 'end': 178}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9978473), 'word': 'holz', 'start': 178, 'end': 182}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9657078), 'word': ',', 'start': 182, 'end': 183}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93123347), 'word': ' C‑242/15 P, not published', 'start': 183, 'end': 209}, {'entity_group': 'LABEL_1', 'score': np.float32(0.773079), 'word': ',', 'start': 209, 'end': 210}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7282422), 'word': ' EU:C', 'start': 210, 'end': 215}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8724677), 'word': ':20', 'start': 215, 'end': 218}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9992091), 'word': '16:765', 'start': 218, 'end': 224}, {'entity_group': 'LABEL_1', 'score': np.float32(0.69043267), 'word': ',', 'start': 224, 'end': 225}, {'entity_group': 'LABEL_0', 'score': np.float32(0.998658), 'word': ' paragraph 63).', 'start': 225, 'end': 240}]"
